Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
232,Karachi Kings,Multan Sultans,Karachi Kings,66 runs,Karachi,26-Feb-23,Normal,Bat First,,66,Match 14,Multan Sultans, elected to field first,Pakistan Super League,2023,Kings Tabraiz Shamsi,26-Feb-23, day ,Pakistan Ahsan Raza DRS England Alex Wharf DRS,England Martin Saggers,Pakistan Tariq Rasheed,Pakistan Iftikhar Ahmed,Karachi Kings 2, Multan Sultans 0,
233,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,40 runs,Lahore,26-Feb-23,Normal,Bat First,,40,Match 15,Lahore Qalandars, elected to bat first,Pakistan Super League,2023,Qalandars Fakhar Zaman,26-Feb-23, night ,Pakistan Faisal Afridi DRS England Richard Illingworth DRS,England Michael Gough,Pakistan Shozab Raza,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Peshawar Zalmi 0,
234,Lahore Qalandars,Islamabad United,Lahore Qalandars,110 runs,Lahore,27-Feb-23,Normal,Bat First,,110,Match 16,Lahore Qalandars, elected to bat first,Pakistan Super League,2023,Qalandars David Wiese,27-Feb-23, night ,Pakistan Faisal Afridi DRS England Michael Gough DRS,England Richard Illingworth,Pakistan Shozab Raza,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Islamabad United 0,
235,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,24 runs,Rawalpindi,1-Mar-23,Normal,Bat First,,24,Match 17,Karachi Kings, elected to field first,Pakistan Super League,2023,Zalmi Rovman Powell,1-Mar-23, night ,England Michael Gough DRS England Richard Illingworth DRS,Pakistan Rashid Riaz,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Karachi Kings 0,
236,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,17 runs,Lahore,2-Mar-23,Normal,Bat First,,17,Match 18,Quetta Gladiators, elected to field first,Pakistan Super League,2023,Qalandars Sikandar Raza,2-Mar-23, night ,Pakistan Ahsan Raza England Martin Saggers,Pakistan Faisal Afridi,Pakistan Shozab Raza,Pakistan Muhammad Javed,Lahore Qalandars 2, Quetta Gladiators 0,
237,Islamabad United,Karachi Kings,Islamabad United,6 wickets,Rawalpindi,3-Mar-23,Normal,Bowl First,6,,Match 19,Karachi Kings, elected to bat first,Pakistan Super League,2023,United Azam Khan,3-Mar-23, night ,England Michael Gough DRS England Richard Illingworth DRS,Pakistan Rashid Riaz,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Islamabad United 2, Karachi Kings 0,
238,Lahore Qalandars,Multan Sultans,Lahore Qalandars,21 runs,Lahore,4-Mar-23,Normal,Bat First,,21,Match 20,Lahore Qalandars, elected to bat first,Pakistan Super League,2023,Qalandars Rashid Khan,4-Mar-23, night ,Pakistan Faisal Afridi DRS England Martin Saggers DRS,Pakistan Ahsan Raza,Pakistan Shozab Raza,Pakistan Muhammad Javed,Lahore Qalandars 2, Multan Sultans 0,
239,Islamabad United,Quetta Gladiators,Islamabad United,2 wickets,Rawalpindi,5-Mar-23,Normal,Bowl First,2,,Match 21,Islamabad United, elected to field first,Pakistan Super League,2023,United Fazalhaq Farooqi,5-Mar-23, night ,Pakistan Aleem Dar DRS Pakistan Rashid Riaz DRS,England Alex Wharf,U.A.E. Mohammad Asif,Sri Lanka Roshan Mahanama,Islamabad United 2, Quetta Gladiators 0,
240,Quetta Gladiators,Karachi Kings,Quetta Gladiators,4 wickets,Rawalpindi,6-Mar-23,Normal,Bowl First,4,,Match 22,Quetta Gladiators, elected to field first,Pakistan Super League,2023,Gladiators Martin Guptill,6-Mar-23, night ,England Martin Saggers DRS Pakistan Rashid Riaz DRS,Pakistan Faisal Afridi,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Karachi Kings 0,
241,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,35 runs,Rawalpindi,7-Mar-23,Normal,Bat First,,35,Match 23,Peshawar Zalmi, elected to bat first,Pakistan Super League,2023,Zalmi Saim Ayub,7-Mar-23, day ,England Alex Wharf DRS Pakistan Asif Yaqoob DRS,Pakistan Ahsan Raza,Pakistan Nasir Hussain,Pakistan Muhammad Javed,Peshawar Zalmi 2, Lahore Qalandars 0,
242,Islamabad United,Multan Sultans,Islamabad United,2 wickets,Rawalpindi,7-Mar-23,Normal,Bowl First,2,,Match 24,Islamabad United, elected to field first,Pakistan Super League,2023,United Faheem Ashraf,7-Mar-23, night ,Pakistan Faisal Afridi DRS Pakistan Rashid Riaz DRS,England Alex Wharf,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Islamabad United 2, Multan Sultans 0,
243,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,8 wickets,Rawalpindi,8-Mar-23,Normal,Bowl First,8,,Match 25,Peshawar Zalmi, elected to bat first,Pakistan Super League,2023,Gladiators Jason Roy,8-Mar-23, night ,Pakistan Ahsan Raza DRS England Martin Saggers DRS,England Alex Wharf,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Quetta Gladiators 2, Peshawar Zalmi 0,
244,Islamabad United,Lahore Qalandars,Lahore Qalandars,119 runs,Rawalpindi,9-Mar-23,Normal,Bat First,,119,Match 26,Lahore Qalandars, elected to bat first,Pakistan Super League,2023,Qalandars Fakhar Zaman,9-Mar-23, night ,Pakistan Aleem Dar DRS Pakistan Faisal Afridi DRS,Pakistan Ahsan Raza,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Islamabad United 0,
245,Peshawar Zalmi,Multan Sultans,Multan Sultans,4 wickets,Rawalpindi,10-Mar-23,Normal,Bowl First,4,,Match 27,Peshawar Zalmi, elected to bat first,Pakistan Super League,2023,Sultans Rilee Rossouw,10-Mar-23, night ,Pakistan Ahsan Raza England Martin Saggers,Pakistan Faisal Afridi,Pakistan Nasir Hussain,Pakistan Muhammad Javed,Multan Sultans 2, Peshawar Zalmi 0,
246,Quetta Gladiators,Multan Sultans,Multan Sultans,9 runs,Rawalpindi,11-Mar-23,Normal,Bat First,,9,Match 28,Quetta Gladiators, elected to field first,Pakistan Super League,2023,Sultans Abbas Afridi,11-Mar-23, night ,England Alex Wharf England Martin Saggers,,Pakistan Nasir Hussain,Pakistan Ali Naqvi,Multan Sultans 2, Quetta Gladiators 0,
247,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,13 runs,Rawalpindi,12-Mar-23,Normal,Bat First,,13,Match 29,Islamabad United, elected to field first,Pakistan Super League,2023,Zalmi Mohammad Haris,12-Mar-23, day ,Pakistan Ahsan Raza England Martin Saggers,Pakistan Faisal Afridi,Pakistan Nasir Hussain,Pakistan Muhammad Javed,Peshawar Zalmi 2, Islamabad United 0,
248,Lahore Qalandars,Karachi Kings,Karachi Kings,86 runs,Lahore,12-Mar-23,Normal,Bat First,,86,Match 30,Karachi Kings, elected to bat first,Pakistan Super League,2023,Kings Muhammad Akhlaq,12-Mar-23, night ,Pakistan Aleem Dar DRS Pakistan Rashid Riaz DRS,Pakistan Asif Yaqoob,,Sri Lanka Roshan Mahanama,Karachi Kings 2, Lahore Qalandars 0,
249,Lahore Qalandars,Multan Sultans,Multan Sultans,84 runs,Lahore,15-Mar-23,Normal,Bat First,,84,1st Qualifying Final,Multan Sultans, elected to bat first,Pakistan Super League,2023,Sultans Kieron Pollard,15-Mar-23, night ,Pakistan Aleem Dar DRS England Alex Wharf DRS,Pakistan Asif Yaqoob,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,,,
250,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,12 runs,Lahore,16-Mar-23,Normal,Bat First,,12,2nd Qualifying Final,Islamabad United, elected to field first,Pakistan Super League,2023,Zalmi Aamer Jamal,16-Mar-23, night ,Pakistan Ahsan Raza DRS Pakistan Faisal Afridi DRS,England Alex Wharf,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,,,
251,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,4 wickets,Lahore,17-Mar-23,Normal,Bowl First,4,,3rd Qualifying Final,Peshawar Zalmi, elected to bat first,Pakistan Super League,2023,Qalandars Mirza Baig,17-Mar-23, night ,Pakistan Ahsan Raza DRS England Martin Saggers DRS,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,,,
252,Lahore Qalandars,Multan Sultans,Lahore Qalandars,1 run,Lahore,18-Mar-23,Normal,Bat First,,1,Final,Lahore Qalandars, elected to bat first,Pakistan Super League,2023,Qalandars Shaheen Shah Afridi,18-Mar-23, night ,England Alex Wharf DRS Pakistan Rashid Riaz DRS,Pakistan Asif Yaqoob,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,,,Sultans Ihsanullah
253,Lahore Qalandars,Islamabad United,Islamabad United,8 wickets,Lahore,17-Feb-24,Normal,Bowl First,8,,Match 1,Islamabad United, elected to field first,Pakistan Super League,2024,United Shadab Khan,17-Feb-24, night ,Pakistan Aleem Dar DRS England Michael Gough DRS,Pakistan Tariq Rasheed,Pakistan Shozab Raza,Pakistan Muhammad Javed,Islamabad United 2, Lahore Qalandars 0,
254,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,16 runs,Lahore,18-Feb-24,Normal,Bat First,,16,Match 2,Peshawar Zalmi, elected to field first,Pakistan Super League,2024,Gladiators Saud Shakeel,18-Feb-24, day ,England Michael Gough DRS Pakistan Tariq Rasheed DRS,Pakistan Aleem Dar,Pakistan Shozab Raza,Pakistan Muhammad Javed,Quetta Gladiators 2, Peshawar Zalmi 0,
255,Multan Sultans,Karachi Kings,Multan Sultans,55 runs,Multan,18-Feb-24,Normal,Bat First,,55,Match 3,Karachi Kings, elected to field first,Pakistan Super League,2024,Sultans Reeza Hendricks,18-Feb-24, night ,New Zealand Chris Gaffaney DRS Pakistan Rashid Riaz DRS,Pakistan Faisal Afridi,Pakistan Abdul Muqeet,Pakistan Ali Naqvi,Multan Sultans 2, Karachi Kings 0,
256,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,5 wickets,Lahore,19-Feb-24,Normal,Bowl First,5,,Match 4,Lahore Qalandars, elected to bat first,Pakistan Super League,2024,Gladiators Khawaja Nafay,19-Feb-24, night ,Pakistan Aleem Dar DRS England Michael Gough DRS,Pakistan Ahsan Raza,Pakistan Tariq Rasheed,Pakistan Muhammad Javed,Quetta Gladiators 2, Lahore Qalandars 0,
257,Multan Sultans,Islamabad United,Multan Sultans,5 wickets,Multan,20-Feb-24,Normal,Bowl First,5,,Match 5,Multan Sultans, elected to field first,Pakistan Super League,2024,Sultans Mohammad Ali,20-Feb-24, night ,New Zealand Chris Gaffaney DRS Pakistan Faisal Afridi DRS,Pakistan Rashid Riaz,Pakistan Abdul Muqeet,Pakistan Ali Naqvi,Multan Sultans 2, Islamabad United 0,
258,Karachi Kings,Peshawar Zalmi,Karachi Kings,7 wickets,Lahore,21-Feb-24,Normal,Bowl First,7,,Match 6,Karachi Kings, elected to field first,Pakistan Super League,2024,Kings Mir Hamza,21-Feb-24, day ,Pakistan Ahsan Raza DRS England Michael Gough DRS,England Richard Illingworth,Pakistan Shozab Raza,Pakistan Muhammad Javed,Karachi Kings 2, Peshawar Zalmi 0,
259,Multan Sultans,Lahore Qalandars,Multan Sultans,5 wickets,Multan,21-Feb-24,Normal,Bowl First,5,,Match 7,Lahore Qalandars, elected to bat first,Pakistan Super League,2024,Sultans Mohammad Rizwan,21-Feb-24, night ,New Zealand Chris Gaffaney DRS Pakistan Rashid Riaz DRS,Pakistan Faisal Afridi,Pakistan Abdul Muqeet,Pakistan Ali Naqvi,Multan Sultans 2, Lahore Qalandars 0,
260,Islamabad United,Quetta Gladiators,Quetta Gladiators,3 wickets,Lahore,22-Feb-24,Normal,Bowl First,3,,Match 8,Quetta Gladiators, elected to field first,Pakistan Super League,2024,Gladiators Rilee Rossouw,22-Feb-24, night ,Pakistan Aleem Dar DRS England Richard Illingworth DRS,England Michael Gough,Pakistan Tariq Rasheed,Pakistan Muhammad Javed,Quetta Gladiators 2, Islamabad United 0,
261,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,5 runs,Multan,23-Feb-24,Normal,Bat First,,5,Match 9,Peshawar Zalmi, elected to bat first,Pakistan Super League,2024,Zalmi Luke Wood,23-Feb-24, night ,New Zealand Chris Gaffaney DRS Pakistan Faisal Afridi DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Abdul Muqeet,Pakistan Ali Naqvi,Peshawar Zalmi 2, Multan Sultans 0,
262,Lahore Qalandars,Karachi Kings,Karachi Kings,2 wickets,Lahore,24-Feb-24,Normal,Bowl First,2,,Match 10,Karachi Kings, elected to field first,Pakistan Super League,2024,Kings Kieron Pollard,24-Feb-24, night ,Pakistan Ahsan Raza DRS England Richard Illingworth DRS,Pakistan Aleem Dar,Pakistan Tariq Rasheed,Pakistan Muhammad Javed,Karachi Kings 2, Lahore Qalandars 0,
263,Multan Sultans,Quetta Gladiators,Multan Sultans,13 runs,Multan,25-Feb-24,Normal,Bat First,,13,Match 11,Quetta Gladiators, elected to field first,Pakistan Super League,2024,Sultans Mohammad Ali,25-Feb-24, day ,New Zealand Chris Gaffaney DRS Pakistan Faisal Afridi DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Rashid Riaz,Pakistan Ali Naqvi,Multan Sultans 2, Quetta Gladiators 0,
264,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,8 runs,Lahore,25-Feb-24,Normal,Bat First,,8,Match 12,Lahore Qalandars, elected to field first,Pakistan Super League,2024,Zalmi Saim Ayub,25-Feb-24, night ,Pakistan Ahsan Raza DRS England Richard Illingworth DRS,Pakistan Nasir Hussain,Pakistan Shozab Raza,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Lahore Qalandars 0,
265,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,8 runs,Lahore,26-Feb-24,Normal,Bat First,,8,Match 13,Islamabad United, elected to field first,Pakistan Super League,2024,Zalmi Babar Azam,26-Feb-24, night ,England Richard Illingworth DRS Pakistan Shozab Raza DRS,Pakistan Ahsan Raza,Pakistan Tariq Rasheed,Pakistan Muhammad Javed,Peshawar Zalmi 2, Islamabad United 0,
266,Lahore Qalandars,Multan Sultans,Multan Sultans,60 runs,Lahore,27-Feb-24,Normal,Bat First,,60,Match 14,Multan Sultans, elected to bat first,Pakistan Super League,2024,Sultans Usman Khan,27-Feb-24, night ,Pakistan Ahsan Raza Sri Lanka Ruchira Palliyaguruge,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Multan Sultans 2, Lahore Qalandars 0,
267,Karachi Kings,Islamabad United,Islamabad United,7 wickets,Karachi,28-Feb-24,Normal,Bowl First,7,,Match 15,Islamabad United, elected to field first,Pakistan Super League,2024,United Colin Munro,28-Feb-24, night ,New Zealand Chris Gaffaney DRS Pakistan Rashid Riaz DRS,Pakistan Abdul Muqeet,Pakistan Imran Javed,Pakistan Ali Naqvi,Islamabad United 2, Karachi Kings 0,
268,Karachi Kings,Quetta Gladiators,Quetta Gladiators,5 wickets,Karachi,29-Feb-24,Normal,Bowl First,5,,Match 16,Quetta Gladiators, elected to field first,Pakistan Super League,2024,Gladiators Sherfane Rutherford,29-Feb-24, night ,Pakistan Abdul Muqeet DRS New Zealand Chris Gaffaney DRS,Pakistan Imran Javed,Pakistan Faisal Afridi,Pakistan Ali Naqvi,Quetta Gladiators 2, Karachi Kings 0,
269,Lahore Qalandars,Peshawar Zalmi,No Result,No Result,Rawalpindi,2-Mar-24,No Result,No Result,,,Match 17,no toss,no toss,Pakistan Super League,2024,No Result,2-Mar-24, day ,Pakistan Ahsan Raza Sri Lanka Ruchira Palliyaguruge,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Lahore Qalandars 1, Peshawar Zalmi 1,
270,Islamabad United,Quetta Gladiators,No Result,No Result,Rawalpindi,2-Mar-24,No Result,No Result,,,Match 18,no toss,no toss,Pakistan Super League,2024,No Result,2-Mar-24, night ,Pakistan Asif Yaqoob England Richard Illingworth,England Alex Wharf,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Islamabad United 1, Quetta Gladiators 1,
271,Karachi Kings,Multan Sultans,Multan Sultans,20 runs,Karachi,3-Mar-24,Normal,Bat First,,20,Match 19,Multan Sultans, elected to bat first,Pakistan Super League,2024,Sultans Usman Khan,3-Mar-24, night ,Pakistan Faisal Afridi DRS Pakistan Rashid Riaz DRS,New Zealand Chris Gaffaney,Pakistan Abdul Muqeet,Pakistan Ali Naqvi,Multan Sultans 2, Karachi Kings 0,
272,Islamabad United,Peshawar Zalmi,Islamabad United,29 runs,Rawalpindi,4-Mar-24,Normal,Bat First,,29,Match 20,Peshawar Zalmi, elected to field first,Pakistan Super League,2024,United Shadab Khan,4-Mar-24, night ,Pakistan Asif Yaqoob DRS England Richard Illingworth DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Islamabad United 2, Peshawar Zalmi 0,
273,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,4 runs,Rawalpindi,5-Mar-24,Normal,Bat First,,4,Match 21,Peshawar Zalmi, elected to bat first,Pakistan Super League,2024,Zalmi Babar Azam,5-Mar-24, night ,England Alex Wharf DRS England Richard Illingworth DRS,Sri Lanka Ruchira Palliyaguruge,Pakistan Nasir Hussain,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Multan Sultans 0,
274,Karachi Kings,Quetta Gladiators,Karachi Kings,7 wickets,Rawalpindi,6-Mar-24,Normal,Bowl First,7,,Match 22,Karachi Kings, elected to field first,Pakistan Super League,2024,Kings Hasan Ali,6-Mar-24, day ,Pakistan Asif Yaqoob DRS England Richard Illingworth DRS,Pakistan Ahsan Raza,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Karachi Kings 2, Quetta Gladiators 0,
275,Islamabad United,Lahore Qalandars,Lahore Qalandars,17 runs,Rawalpindi,6-Mar-24,Normal,Bat First,,17,Match 23,Islamabad United, elected to field first,Pakistan Super League,2024,Qalandars Rassie van der Dussen,6-Mar-24, night ,Pakistan Ahsan Raza DRS England Alex Wharf DRS,Pakistan Asif Yaqoob,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Islamabad United 0,
276,Islamabad United,Karachi Kings,Islamabad United,5 wickets,Rawalpindi,7-Mar-24,Normal,Bowl First,5,,Match 24,Islamabad United, elected to field first,Pakistan Super League,2024,United Faheem Ashraf,7-Mar-24, night ,England Alex Wharf DRS Sri Lanka Ruchira Palliyaguruge DRS,Pakistan Ahsan Raza,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Islamabad United 2, Karachi Kings 0,
277,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,76 runs,Rawalpindi,8-Mar-24,Normal,Bat First,,76,Match 25,Quetta Gladiators, elected to field first,Pakistan Super League,2024,Zalmi Saim Ayub,8-Mar-24, night ,England Alex Wharf DRS Pakistan Asif Yaqoob DRS,Pakistan Ahsan Raza,Pakistan Mohammad Asif,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Quetta Gladiators 0,
278,Karachi Kings,Lahore Qalandars,Karachi Kings,3 wickets,Karachi,9-Mar-24,Normal,Bowl First,3,,Match 26,Karachi Kings, elected to field first,Pakistan Super League,2024,Kings Irfan Khan,9-Mar-24, night ,Pakistan Rashid Riaz DRS England Richard Illingworth DRS,Pakistan Faisal Afridi,Pakistan Imran Javed,Pakistan Ali Naqvi,Karachi Kings 2, Lahore Qalandars 0,
279,Islamabad United,Multan Sultans,Islamabad United,3 wickets,Rawalpindi,10-Mar-24,Normal,Bowl First,3,,Match 27,Islamabad United, elected to field first,Pakistan Super League,2024,United Colin Munro,10-Mar-24, day ,Pakistan Mohammad Asif DRS Sri Lanka Ruchira Palliyaguruge DRS,Pakistan Ahsan Raza,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Islamabad United 2, Multan Sultans 0,
280,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,6 wickets,Karachi,10-Mar-24,Normal,Bowl First,6,,Match 28,Lahore Qalandars, elected to bat first,Pakistan Super League,2024,Gladiators Saud Shakeel,10-Mar-24, night ,New Zealand Chris Gaffaney DRS Pakistan Rashid Riaz DRS,England Alex Wharf,Pakistan Imran Javed,Pakistan Ali Naqvi,Quetta Gladiators 2, Lahore Qalandars 0,
281,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,2 runs,Karachi,11-Mar-24,Normal,Bat First,,2,Match 29,Peshawar Zalmi, elected to bat first,Pakistan Super League,2024,Zalmi Babar Azam,11-Mar-24, night ,England Alex Wharf DRS Pakistan Faisal Afridi DRS,Pakistan Aleem Dar,Pakistan Imran Javed,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Karachi Kings 0,
282,Multan Sultans,Quetta Gladiators,Multan Sultans,79 runs,Karachi,12-Mar-24,Normal,Bat First,,79,Match 30,Quetta Gladiators, elected to field first,Pakistan Super League,2024,Sultans Mohammad Rizwan,12-Mar-24, night ,Pakistan Rashid Riaz DRS England Richard Illingworth DRS,New Zealand Chris Gaffaney,Pakistan Asif Yaqoob,Pakistan Ali Naqvi,Multan Sultans 2, Quetta Gladiators 0,
283,Multan Sultans,Peshawar Zalmi,Multan Sultans,7 wickets,Karachi,14-Mar-24,Normal,Bowl First,7,,1st Qualifying Final,Peshawar Zalmi, elected to bat first,Pakistan Super League,2024,Sultans Usama Mir,14-Mar-24, night ,Pakistan Aleem Dar DRS England Richard Illingworth DRS,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,,,
284,Islamabad United,Quetta Gladiators,Islamabad United,39 runs,Karachi,15-Mar-24,Normal,Bat First,,39,2nd Qualifying Final,Islamabad United, elected to bat first,Pakistan Super League,2024,United Imad Wasim,15-Mar-24, night ,Pakistan Ahsan Raza DRS New Zealand Chris Gaffaney DRS,Pakistan Asif Yaqoob,Pakistan Rashid Riaz,Pakistan Muhammad Javed,,,
285,Islamabad United,Peshawar Zalmi,Islamabad United,5 wickets,Karachi,16-Mar-24,Normal,Bowl First,5,,3rd Qualifying Final,Islamabad United, elected to field first,Pakistan Super League,2024,United Imad Wasim,16-Mar-24, night ,Pakistan Asif Yaqoob DRS England Richard Illingworth DRS,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Pakistan Muhammad Javed,,,
286,Islamabad United,Multan Sultans,Islamabad United,2 wickets,Karachi,18-Mar-24,Normal,Bowl First,2,,Final,Multan Sultans, elected to bat first,Pakistan Super League,2024,United Imad Wasim,18-Mar-24, night ,Pakistan Ahsan Raza DRS New Zealand Chris Gaffaney DRS,England Richard Illingworth,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,,,United Shadab Khan
